Date,Forecasted_Sales,Lower_Bound,Upper_Bound,Lower_Bound_Clipped,DayOfWeek
2018-12-31,3134.454642405533,-2028.3859982655363,8297.295283076603,0.0,Monday
2019-01-01,3141.044699405691,-2033.8498146346838,8315.939213446065,0.0,Tuesday
2019-01-02,1355.6632863450282,-3819.2312276953458,6530.5578003854025,0.0,Wednesday
2019-01-03,608.3517929972467,-4566.542721043127,5783.246307037621,0.0,Thursday
2019-01-04,3085.958331001189,-2088.936183039185,8260.852845041563,0.0,Friday
2019-01-05,3898.6408685789615,-1276.2536454615542,9073.535382619477,0.0,Saturday
2019-01-06,2997.281119998294,-2177.613394122464,8172.175634119052,0.0,Sunday
2019-01-07,3299.020223958193,-1882.4020233111933,8480.44247122758,0.0,Monday
2019-01-08,3153.799904851373,-2027.652839764216,8335.252649466962,0.0,Tuesday
2019-01-09,1361.1683858858817,-3820.2843587297066,6542.621130501469,0.0,Wednesday
2019-01-10,610.8221978610796,-4570.630546754508,5792.274942476668,0.0,Thursday
2019-01-11,3098.4898408253507,-2082.9629037902373,8279.942585440938,0.0,Friday
2019-01-12,3914.472532880671,-1266.9802117350596,9095.925277496402,0.0,Saturday
2019-01-13,3009.452527960516,-2172.000216736008,8190.90527265704,0.0,Sunday
2019-01-14,3312.4169389855238,-1875.6083097458436,8500.442187716892,0.0,Monday
2019-01-15,3166.6069068429592,-2021.4490482942142,8354.662861980132,0.0,Tuesday
2019-01-16,1366.6958406245635,-3821.360114512609,6554.7517957617365,0.0,Wednesday
2019-01-17,613.3026345851973,-4574.753320551975,5801.35858972237,0.0,Thursday
2019-01-18,3111.072238808596,-2076.9837163285765,8299.12819394577,0.0,Friday
2019-01-19,3930.368486662487,-1257.687468474829,9118.424441799803,0.0,Saturday
2019-01-20,3021.6733617743184,-2166.382593444344,8209.72931699298,0.0,Sunday
2019-01-21,3325.868055611311,-1868.805434749835,8520.541545972457,0.0,Monday
2019-01-22,3179.465915716707,-2015.2384913237802,8374.170322757194,0.0,Tuesday
2019-01-23,1372.2457413414247,-3822.4586656990614,6566.950148381911,0.0,Wednesday
2019-01-24,615.7931439071411,-4578.9112631333455,5810.497550947627,0.0,Thursday
2019-01-25,3123.7057315983893,-2070.998675442097,8318.410138638876,0.0,Friday
2019-01-26,3946.328990992177,-1248.375416048454,9141.033398032807,0.0,Saturday
2019-01-27,3033.9438221490045,-2160.76058497353,8228.64822927154,0.0,Sunday
2019-01-28,3339.373794750451,-1861.9934398452865,8540.741029346189,0.0,Monday
2019-01-29,3192.37714266301,-2009.021220104196,8393.775505430216,0.0,Tuesday
2019-01-30,1377.818179185459,-3823.580183581746,6579.216541952665,0.0,Wednesday
2019-01-31,618.2937667298803,-4583.104596037325,5819.692129497085,0.0,Thursday
2019-02-01,3136.390526681353,-2065.007836085852,8337.788889448559,0.0,Friday
2019-02-02,3962.3543079976557,-1239.0440547696949,9163.752670765007,0.0,Saturday
2019-02-03,3046.2641106089204,-2155.134252240895,8247.662473458735,0.0,Sunday
2019-02-04,3352.934378214936,-1855.1723666628527,8561.041123092724,0.0,Monday
2019-02-05,3205.3407997298673,-2002.797286034769,8413.478885494504,0.0,Tuesday
2019-02-06,1383.4132456757993,-3824.724840088836,6591.551331440434,0.0,Wednesday
2019-02-07,620.8045441224835,-4587.333541642152,5828.9426298871185,0.0,Thursday
2019-02-08,3149.126832386675,-2059.0112533779607,8357.26491815131,0.0,Friday
2019-02-09,3978.4447008712928,-1229.6933848934882,9186.582786636074,0.0,Saturday
2019-02-10,3058.6344294967653,-2149.5036563510444,8266.772515344575,0.0,Sunday
2019-02-11,3366.550028717494,-1848.342256937373,8581.442314372362,0.0,Monday
2019-02-12,3218.357099826366,-1996.566740658638,8433.28094031137,0.0,Tuesday
2019-02-13,1389.0310327032207,-3825.8928077817814,6603.954873188222,0.0,Wednesday
2019-02-14,623.3255173207934,-4591.5983231642085,5838.249357805796,0.0,Thursday
2019-02-15,3161.914857889528,-2053.008982595474,8376.83869837453,0.0,Friday
2019-02-16,3994.6004338742323,-1220.3234066109171,9209.52427435938,0.0,Saturday
2019-02-17,3071.0549819769158,-2143.868858591828,8285.97882254566,0.0,Sunday
2019-02-18,3380.2209698752504,-1841.5031525034774,8601.945092253978,0.0,Monday
2019-02-19,3231.426256726177,-1990.3296356585338,8453.182149110888,0.0,Tuesday
2019-02-20,1394.6716325316502,-3827.08425985306,6616.42752491636,0.0,Wednesday
2019-02-21,625.8567277281038,-4595.899164656606,5847.612620112814,0.0,Thursday
2019-02-22,3174.754813214508,-2047.001079170202,8396.510705599218,0.0,Friday
2019-02-23,4010.8217723407356,-1210.9341200441218,9232.577664725593,0.0,Saturday
2019-02-24,3083.525972038761,-2138.2299204302617,8305.281864507784,0.0,Sunday
2019-02-25,3393.9474262133976,-1834.6550952911434,8622.549947717938,0.0,Monday
2019-02-26,3244.5484850710686,-1984.086022852512,8473.182992994649,0.0,Tuesday
2019-02-27,1400.3351377996814,-3828.2993701238984,6628.969645723261,0.0,Wednesday
2019-02-28,628.3982169158395,-4600.23629100774,5857.03272483942,0.0,Thursday
2019-03-01,3187.646909239082,-2040.9875986844977,8416.281417162661,0.0,Friday
2019-03-02,4027.1089826825364,-1201.5255252411907,9255.743490606263,0.0,Saturday
2019-03-03,3096.047604500054,-2132.5869035084124,8324.68211250852,0.0,Sunday
2019-03-04,3407.729623168884,-1827.798127321225,8643.257373658993,0.0,Monday
2019-03-05,3257.7240003744287,-1977.8359541896293,8493.283954938486,0.0,Tuesday
2019-03-06,1406.0216415220964,-3829.5383130419605,6641.581596086154,0.0,Wednesday
2019-03-07,630.9500266242394,-4604.609927939818,5866.5099811882965,0.0,Thursday
2019-03-08,3200.591357697052,-2034.968596867005,8436.151312261109,0.0,Friday
2019-03-09,4043.4623323932187,-1192.0976221709866,9279.022286957425,0.0,Saturday
2019-03-10,3108.6200850102746,-2126.939869639247,8344.180039659796,0.0,Sunday
2019-03-11,3421.567787094115,-1820.932290700936,8664.067864889166,0.0,Monday
2019-03-12,3270.953019024805,-1971.5794817455971,8513.485519795207,0.0,Tuesday
2019-03-13,1411.7312370913928,-3830.8012636790086,6654.263737861795,0.0,Wednesday
2019-03-14,633.5121987630419,-4609.0203020073595,5876.044699533443,0.0,Thursday
2019-03-15,3213.5883711820316,-2028.9441295883698,8456.120871952433,0.0,Friday
2019-03-16,4059.882090052608,-1182.6504107179435,9302.414590823159,0.0,Saturday
2019-03-17,3121.2436200540074,-2121.2888808024395,8363.776120910454,0.0,Sunday
2019-03-18,3435.4621452606734,-1814.0576276192905,8684.981918140638,0.0,Monday
2019-03-19,3284.2357582894606,-1965.3166577183888,8533.78817429731,0.0,Tuesday
2019-03-20,1417.4640182793187,-3832.08839772853,6667.016434287167,0.0,Wednesday
2019-03-21,636.084775412173,-4613.467640595675,5885.637191420022,0.0,Thursday
2019-03-22,3226.638163150938,-2022.9142528569105,8476.190579158787,0.0,Friday
2019-03-23,4076.3685253311837,-1173.1838906768166,9325.920941339184,0.0,Saturday
2019-03-24,3133.918416954333,-2115.6339991401446,8383.47083304881,0.0,Sunday
